1, minecraft:stronghold_town, HEADING, header:ignore, 0, 0, 0
128, minecraft:mansion, HEADING, header:ignore, 0, 0, 0
129, nova_structures:firewatch_tower_taiga, HEADING, header:ignore, 0, 0, 0
130, minecraft:buried_treasure, HEADING, header:ignore, 0, 0, 0
131, red:abandoned_house, HEADING, header:ignore, 0, 0, 0
132, red:abandoned_house, MONSTER, minecraft:witch, 5, 2, 3
133, minecraft:village_taiga, HEADING, header:ignore, 0, 0, 0
134, ethrium:pirate_ship, HEADING, header:ignore, 0, 0, 0
135, minecraft:nether_fossil, HEADING, header:ignore, 0, 0, 0
136, nova_structures:firewatch_tower_dark_oak, HEADING, header:ignore, 0, 0, 0
137, survivalexpansion:dreadcastle, HEADING, header:ignore, 0, 0, 0
138, survivalexpansion:floor, HEADING, header:ignore, 0, 0, 0
139, nova_structures:bunker, HEADING, header:ignore, 0, 0, 0
140, soulsweapons:champions_graves, HEADING, header:ignore, 0, 0, 0
141, explorify:watchtower_taiga, HEADING, header:ignore, 0, 0, 0
142, nova_structures:conduit_ruin, HEADING, header:ignore, 0, 0, 0
143, ethrium:livilium_tower, HEADING, header:ignore, 0, 0, 0
144, explorify:guide_post_warm, HEADING, header:ignore, 0, 0, 0
145, survivalexpansion:crystal, HEADING, header:ignore, 0, 0, 0
146, awesomedungeonocean:ocean_warn_temple, HEADING, header:ignore, 0, 0, 0
147, nova_structures:tavern_acacia, HEADING, header:ignore, 0, 0, 0
148, explorify:badlands_pyramid, HEADING, header:ignore, 0, 0, 0
149, nova_structures:jungle_ruins, HEADING, header:ignore, 0, 0, 0
150, explorify:black_spiral, HEADING, header:ignore, 0, 0, 0
151, minecraft:ruined_portal_desert, HEADING, header:ignore, 0, 0, 0
152, minecraft:ancient_city, HEADING, header:ignore, 0, 0, 0
153, awesomedungeonend:end_pill, HEADING, header:ignore, 0, 0, 0
154, red:sphinx, HEADING, header:ignore, 0, 0, 0
155, awesomedungeonend:end_hardcastle, HEADING, header:ignore, 0, 0, 0
156, minecraft:mineshaft_mesa, HEADING, header:ignore, 0, 0, 0
157, ethrium:magical_outpost, HEADING, header:ignore, 0, 0, 0
158, ethrium:tower, HEADING, header:ignore, 0, 0, 0
159, survivalexpansion:havenigloo, HEADING, header:ignore, 0, 0, 0
160, awesomedungeonocean:ocean_quad, HEADING, header:ignore, 0, 0, 0
161, soulsweapons:decaying_kingdom, HEADING, header:ignore, 0, 0, 0
162, awesomedungeon:mushroom_abandonned, HEADING, header:ignore, 0, 0, 0
163, awesomedungeonend:end_pyramid, HEADING, header:ignore, 0, 0, 0
164, minecraft:ocean_ruin_cold, HEADING, header:ignore, 0, 0, 0
165, minecraft:bastion_remnant, HEADING, header:ignore, 0, 0, 0
166, awesomedungeonocean:frigate_large, HEADING, header:ignore, 0, 0, 0
167, soulsweapons:corrupt_altar, HEADING, header:ignore, 0, 0, 0
168, nova_structures:underground_house, HEADING, header:ignore, 0, 0, 0
169, red:plains_oracle, HEADING, header:ignore, 0, 0, 0
170, red:desert_pyramid, HEADING, header:ignore, 0, 0, 0
171, hopo:deepslate_mineshaft, HEADING, header:ignore, 0, 0, 0
172, survivalexpansion:mushtree1, HEADING, header:ignore, 0, 0, 0
173, forgero:medium_smithing_house_deepslate, HEADING, header:ignore, 0, 0, 0
174, red:beach_house, HEADING, header:ignore, 0, 0, 0
175, awesomedungeonnether:nth_absi_palace, HEADING, header:ignore, 0, 0, 0
176, nova_structures:well_spruce, HEADING, header:ignore, 0, 0, 0
177, survivalexpansion:mushtree4, HEADING, header:ignore, 0, 0, 0
178, awesomedungeon:jungle_giant_tree, HEADING, header:ignore, 0, 0, 0
179, nova_structures:well_oak, HEADING, header:ignore, 0, 0, 0
180, explorify:watchtower_plains, HEADING, header:ignore, 0, 0, 0
181, red:herobrine_statue, HEADING, header:ignore, 0, 0, 0
182, red:swamp_pillager_mangrove, HEADING, header:ignore, 0, 0, 0
183, red:dark_tower, HEADING, header:ignore, 0, 0, 0
184, red:dark_tower, MONSTER, minecraft:pillager, 5, 2, 3
185, hopo:underwater_ruins, HEADING, header:ignore, 0, 0, 0
186, minecraft:ruined_portal_swamp, HEADING, header:ignore, 0, 0, 0
187, hopo:portal_dripstone, HEADING, header:ignore, 0, 0, 0
188, nova_structures:well_birch, HEADING, header:ignore, 0, 0, 0
189, survivalexpansion:ghasttree4, HEADING, header:ignore, 0, 0, 0
190, nova_structures:well_dark_oak, HEADING, header:ignore, 0, 0, 0
191, minecraft:end_city, HEADING, header:ignore, 0, 0, 0
192, red:taiga_deforestation, HEADING, header:ignore, 0, 0, 0
193, awesomedungeon:witch_castle, HEADING, header:ignore, 0, 0, 0
194, nova_structures:firewatch_tower_forest, HEADING, header:ignore, 0, 0, 0
195, explorify:end_shipwreck, HEADING, header:ignore, 0, 0, 0
196, awesomedungeonend:end_castle_evoker, HEADING, header:ignore, 0, 0, 0
197, survivalexpansion:crystal3, HEADING, header:ignore, 0, 0, 0
198, hopo:portal_deepslate, HEADING, header:ignore, 0, 0, 0
199, awesomedungeonocean:ocean_temple_quad, HEADING, header:ignore, 0, 0, 0
200, ethrium:bastion_outpost, HEADING, header:ignore, 0, 0, 0
201, minecraft:desert_pyramid, HEADING, header:ignore, 0, 0, 0
202, survivalexpansion:crimtree2, HEADING, header:ignore, 0, 0, 0
203, survivalexpansion:crimtree3, HEADING, header:ignore, 0, 0, 0
204, nova_structures:wild_ruin, HEADING, header:ignore, 0, 0, 0
205, hopo:underwater_warm_small_ruins, HEADING, header:ignore, 0, 0, 0
206, red:patheon, HEADING, header:ignore, 0, 0, 0
207, survivalexpansion:magicdungeon, HEADING, header:ignore, 0, 0, 0
208, red:jungle_deforestation, HEADING, header:ignore, 0, 0, 0
209, red:statue2, HEADING, header:ignore, 0, 0, 0
210, ethrium:friendly_outpost, HEADING, header:ignore, 0, 0, 0
211, red:snowy_oracle, HEADING, header:ignore, 0, 0, 0
212, minecraft:village_snowy, HEADING, header:ignore, 0, 0, 0
213, minecraft:village_savanna, HEADING, header:ignore, 0, 0, 0
214, red:big_oracle, HEADING, header:ignore, 0, 0, 0
215, minecraft:swamp_hut, HEADING, header:ignore, 0, 0, 0
216, minecraft:swamp_hut, MONSTER, minecraft:witch, 5, 1, 1
217, minecraft:swamp_hut, CREATURE, minecraft:cat, 5, 1, 1
218, swordsandstrongholds:sword_stronghold, HEADING, header:ignore, 0, 0, 0
219, swordsandstrongholds:sword_stronghold, MONSTER, minecraft:skeleton, 5, 5, 10
220, minecraft:fortress, HEADING, header:ignore, 0, 0, 0
221, minecraft:fortress, MONSTER, minecraft:blaze, 10, 2, 3
222, minecraft:fortress, MONSTER, minecraft:zombified_piglin, 5, 4, 4
223, minecraft:fortress, MONSTER, minecraft:wither_skeleton, 8, 5, 5
224, minecraft:fortress, MONSTER, minecraft:skeleton, 20, 5, 5
225, minecraft:fortress, MONSTER, minecraft:magma_cube, 30, 4, 4
226, survivalexpansion:crimtree4, HEADING, header:ignore, 0, 0, 0
227, nova_structures:tavern_oak, HEADING, header:ignore, 0, 0, 0
228, hopo:mangrove_mineshaft, HEADING, header:ignore, 0, 0, 0
229, ethrium:magical_pyramid, HEADING, header:ignore, 0, 0, 0
230, survivalexpansion:ghasttree2, HEADING, header:ignore, 0, 0, 0
231, nova_structures:tavern_birch, HEADING, header:ignore, 0, 0, 0
232, survivalexpansion:crystal2, HEADING, header:ignore, 0, 0, 0
